Vertice: 1, Nivel: 0, Pai: 1
Vertice: 19836, Nivel: 1, Pai: 19836
Vertice: 19812, Nivel: 1, Pai: 19812
Vertice: 19808, Nivel: 1, Pai: 19808
Vertice: 19766, Nivel: 1, Pai: 19766
Vertice: 19746, Nivel: 1, Pai: 19746
Vertice: 19629, Nivel: 1, Pai: 19629
Vertice: 19571, Nivel: 1, Pai: 19571
Vertice: 19558, Nivel: 1, Pai: 19558
Vertice: 19519, Nivel: 1, Pai: 19519
Vertice: 19446, Nivel: 1, Pai: 19446
Vertice: 19378, Nivel: 1, Pai: 19378
Vertice: 19234, Nivel: 1, Pai: 19234
Vertice: 19146, Nivel: 1, Pai: 19146
Vertice: 18968, Nivel: 1, Pai: 18968
Vertice: 18955, Nivel: 1, Pai: 18955
Vertice: 18945, Nivel: 1, Pai: 18945
Vertice: 18900, Nivel: 1, Pai: 18900
Vertice: 18896, Nivel: 1, Pai: 18896
Vertice: 18856, Nivel: 1, Pai: 18856
Vertice: 18855, Nivel: 1, Pai: 18855
Vertice: 18832, Nivel: 1, Pai: 18832
Vertice: 18831, Nivel: 1, Pai: 18831
Vertice: 18811, Nivel: 1, Pai: 18811
Vertice: 18758, Nivel: 1, Pai: 18758
Vertice: 18753, Nivel: 1, Pai: 18753
Vertice: 18739, Nivel: 1, Pai: 18739
Vertice: 18714, Nivel: 1, Pai: 18714
Vertice: 18681, Nivel: 1, Pai: 18681
Vertice: 18664, Nivel: 1, Pai: 18664
Vertice: 18653, Nivel: 1, Pai: 18653
Vertice: 18608, Nivel: 1, Pai: 18608
Vertice: 18597, Nivel: 1, Pai: 18597
Vertice: 18595, Nivel: 1, Pai: 18595
Vertice: 18593, Nivel: 1, Pai: 18593
Vertice: 18586, Nivel: 1, Pai: 18586
Vertice: 18568, Nivel: 1, Pai: 18568
Vertice: 18557, Nivel: 1, Pai: 18557
Vertice: 18528, Nivel: 1, Pai: 18528
Vertice: 18484, Nivel: 1, Pai: 18484
Vertice: 18480, Nivel: 1, Pai: 18480
Vertice: 18443, Nivel: 1, Pai: 18443
Vertice: 18358, Nivel: 1, Pai: 18358
Vertice: 18349, Nivel: 1, Pai: 18349
Vertice: 18337, Nivel: 1, Pai: 18337
Vertice: 18327, Nivel: 1, Pai: 18327
Vertice: 18313, Nivel: 1, Pai: 18313
Vertice: 18297, Nivel: 1, Pai: 18297
Vertice: 18290, Nivel: 1, Pai: 18290
Vertice: 18270, Nivel: 1, Pai: 18270
Vertice: 18269, Nivel: 1, Pai: 18269
Vertice: 18265, Nivel: 1, Pai: 18265
Vertice: 18224, Nivel: 1, Pai: 18224
Vertice: 18195, Nivel: 1, Pai: 18195
Vertice: 18159, Nivel: 1, Pai: 18159
Vertice: 18147, Nivel: 1, Pai: 18147
Vertice: 18134, Nivel: 1, Pai: 18134
Vertice: 18131, Nivel: 1, Pai: 18131
Vertice: 18121, Nivel: 1, Pai: 18121
Vertice: 18115, Nivel: 1, Pai: 18115
Vertice: 18111, Nivel: 1, Pai: 18111
Vertice: 18104, Nivel: 1, Pai: 18104
Vertice: 18082, Nivel: 1, Pai: 18082
Vertice: 18075, Nivel: 1, Pai: 18075
Vertice: 18053, Nivel: 1, Pai: 18053
Vertice: 18048, Nivel: 1, Pai: 18048
Vertice: 17999, Nivel: 1, Pai: 17999
Vertice: 17956, Nivel: 1, Pai: 17956
Vertice: 17945, Nivel: 1, Pai: 17945
Vertice: 17916, Nivel: 1, Pai: 17916
Vertice: 17824, Nivel: 1, Pai: 17824
Vertice: 17819, Nivel: 1, Pai: 17819
Vertice: 17773, Nivel: 1, Pai: 17773
Vertice: 17752, Nivel: 1, Pai: 17752
Vertice: 17739, Nivel: 1, Pai: 17739
Vertice: 17708, Nivel: 1, Pai: 17708
Vertice: 17640, Nivel: 1, Pai: 17640
Vertice: 17596, Nivel: 1, Pai: 17596
Vertice: 17592, Nivel: 1, Pai: 17592
Vertice: 17589, Nivel: 1, Pai: 17589
Vertice: 17585, Nivel: 1, Pai: 17585
Vertice: 17548, Nivel: 1, Pai: 17548
Vertice: 17547, Nivel: 1, Pai: 17547
Vertice: 17543, Nivel: 1, Pai: 17543
Vertice: 17535, Nivel: 1, Pai: 17535
Vertice: 17532, Nivel: 1, Pai: 17532
Vertice: 17487, Nivel: 1, Pai: 17487
Vertice: 17483, Nivel: 1, Pai: 17483
Vertice: 17475, Nivel: 1, Pai: 17475
Vertice: 17466, Nivel: 1, Pai: 17466
Vertice: 17427, Nivel: 1, Pai: 17427
Vertice: 17415, Nivel: 1, Pai: 17415
Vertice: 17412, Nivel: 1, Pai: 17412
Vertice: 17378, Nivel: 1, Pai: 17378
Vertice: 17323, Nivel: 1, Pai: 17323
Vertice: 17309, Nivel: 1, Pai: 17309
Vertice: 17285, Nivel: 1, Pai: 17285
Vertice: 17268, Nivel: 1, Pai: 17268
Vertice: 17262, Nivel: 1, Pai: 17262
Vertice: 17257, Nivel: 1, Pai: 17257
Vertice: 17227, Nivel: 1, Pai: 17227
Vertice: 17220, Nivel: 1, Pai: 17220
Vertice: 17202, Nivel: 1, Pai: 17202
Vertice: 17200, Nivel: 1, Pai: 17200
Vertice: 17176, Nivel: 1, Pai: 17176
Vertice: 17119, Nivel: 1, Pai: 17119
Vertice: 17100, Nivel: 1, Pai: 17100
Vertice: 17083, Nivel: 1, Pai: 17083
Vertice: 17053, Nivel: 1, Pai: 17053
Vertice: 17037, Nivel: 1, Pai: 17037
Vertice: 17020, Nivel: 1, Pai: 17020
Vertice: 17008, Nivel: 1, Pai: 17008
Vertice: 16969, Nivel: 1, Pai: 16969
Vertice: 16941, Nivel: 1, Pai: 16941
Vertice: 16934, Nivel: 1, Pai: 16934
Vertice: 16932, Nivel: 1, Pai: 16932
Vertice: 16877, Nivel: 1, Pai: 16877
Vertice: 16855, Nivel: 1, Pai: 16855
Vertice: 16853, Nivel: 1, Pai: 16853
Vertice: 16800, Nivel: 1, Pai: 16800
Vertice: 16782, Nivel: 1, Pai: 16782
Vertice: 16762, Nivel: 1, Pai: 16762
Vertice: 16756, Nivel: 1, Pai: 16756
Vertice: 16738, Nivel: 1, Pai: 16738
Vertice: 16364, Nivel: 1, Pai: 16364
Vertice: 16355, Nivel: 1, Pai: 16355
Vertice: 16354, Nivel: 1, Pai: 16354
Vertice: 16306, Nivel: 1, Pai: 16306
Vertice: 16300, Nivel: 1, Pai: 16300
Vertice: 16299, Nivel: 1, Pai: 16299
Vertice: 16289, Nivel: 1, Pai: 16289
Vertice: 16276, Nivel: 1, Pai: 16276
Vertice: 16244, Nivel: 1, Pai: 16244
Vertice: 16239, Nivel: 1, Pai: 16239
Vertice: 16229, Nivel: 1, Pai: 16229
Vertice: 16220, Nivel: 1, Pai: 16220
Vertice: 16210, Nivel: 1, Pai: 16210
Vertice: 16207, Nivel: 1, Pai: 16207
Vertice: 16189, Nivel: 1, Pai: 16189
Vertice: 16179, Nivel: 1, Pai: 16179
Vertice: 16175, Nivel: 1, Pai: 16175
Vertice: 16159, Nivel: 1, Pai: 16159
Vertice: 16151, Nivel: 1, Pai: 16151
Vertice: 16142, Nivel: 1, Pai: 16142
Vertice: 16136, Nivel: 1, Pai: 16136
Vertice: 16126, Nivel: 1, Pai: 16126
Vertice: 16091, Nivel: 1, Pai: 16091
Vertice: 16080, Nivel: 1, Pai: 16080
Vertice: 16067, Nivel: 1, Pai: 16067
Vertice: 16022, Nivel: 1, Pai: 16022
Vertice: 15997, Nivel: 1, Pai: 15997
Vertice: 15975, Nivel: 1, Pai: 15975
Vertice: 15919, Nivel: 1, Pai: 15919
Vertice: 15890, Nivel: 1, Pai: 15890
Vertice: 15879, Nivel: 1, Pai: 15879
Vertice: 15818, Nivel: 1, Pai: 15818
Vertice: 15809, Nivel: 1, Pai: 15809
Vertice: 15808, Nivel: 1, Pai: 15808
Vertice: 15806, Nivel: 1, Pai: 15806
Vertice: 15785, Nivel: 1, Pai: 15785
Vertice: 15767, Nivel: 1, Pai: 15767
Vertice: 15712, Nivel: 1, Pai: 15712
Vertice: 15708, Nivel: 1, Pai: 15708
Vertice: 15672, Nivel: 1, Pai: 15672
Vertice: 15558, Nivel: 1, Pai: 15558
Vertice: 15547, Nivel: 1, Pai: 15547
Vertice: 15522, Nivel: 1, Pai: 15522
Vertice: 15515, Nivel: 1, Pai: 15515
Vertice: 15512, Nivel: 1, Pai: 15512
Vertice: 15497, Nivel: 1, Pai: 15497
Vertice: 15494, Nivel: 1, Pai: 15494
Vertice: 15492, Nivel: 1, Pai: 15492
Vertice: 15487, Nivel: 1, Pai: 15487
Vertice: 15473, Nivel: 1, Pai: 15473
Vertice: 15442, Nivel: 1, Pai: 15442
Vertice: 15438, Nivel: 1, Pai: 15438
Vertice: 15425, Nivel: 1, Pai: 15425
Vertice: 15415, Nivel: 1, Pai: 15415
Vertice: 15402, Nivel: 1, Pai: 15402
Vertice: 15392, Nivel: 1, Pai: 15392
Vertice: 15385, Nivel: 1, Pai: 15385
Vertice: 15382, Nivel: 1, Pai: 15382
Vertice: 15380, Nivel: 1, Pai: 15380
Vertice: 15373, Nivel: 1, Pai: 15373
Vertice: 15329, Nivel: 1, Pai: 15329
Vertice: 15326, Nivel: 1, Pai: 15326
Vertice: 15303, Nivel: 1, Pai: 15303
Vertice: 15297, Nivel: 1, Pai: 15297
Vertice: 15288, Nivel: 1, Pai: 15288
Vertice: 15280, Nivel: 1, Pai: 15280
Vertice: 15263, Nivel: 1, Pai: 15263
Vertice: 15262, Nivel: 1, Pai: 15262
